date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:43	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cdb0d1a-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:43	37323/37323	---M--	200	added ('OK')	image/jpeg	etag:%225c3a642f-94df%22	https://colorlib.com/preview/theme/homespace/images/person_2.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/person_2.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:44	11421/11421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6441-2c9d%22	https://colorlib.com/preview/theme/homespace/js/jquery-migrate-3.0.1.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/jquery-migrate-3.0.1.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:45	86926/86926	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6444-1538e%22	https://colorlib.com/preview/theme/homespace/js/jquery-3.3.1.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/jquery-3.3.1.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:46	45799/45799	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6444-b2e7%22	https://colorlib.com/preview/theme/homespace/js/jquery-ui.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/jquery-ui.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:47	20336/20336	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a64a7-4f70%22	https://colorlib.com/preview/theme/homespace/js/popper.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/popper.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:50	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a64a3-a70e%22	https://colorlib.com/preview/theme/homespace/js/owl.carousel.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/owl.carousel.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:51	524698/524698	---M--	200	added ('OK')	image/jpeg	etag:%225c3a63fe-83fee%22	https://colorlib.com/preview/theme/homespace/images/hero_bg_1.jpg	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/images/hero_bg_1.jpg	(from https://colorlib.com/preview/theme/homespace/)
14:23:52	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a6446-3135%22	https://colorlib.com/preview/theme/homespace/js/jquery.stellar.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/jquery.stellar.min.js	(from https://colorlib.com/preview/theme/homespace/)
14:23:52	152469/152469	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c3a64a5-25395%22	https://colorlib.com/preview/theme/homespace/js/mediaelement-and-player.min.js	C:/Users/Anisha%20Gaywala/Desktop/template/colorlib.com/preview/theme/homespace/js/mediaelement-and-player.min.js	(from https://colorlib.com/preview/theme/homespace/)
